Source,Source type,Destination,Destination type,Last job start time,Last job end time,Last job status,Last job comment,Migrated size (GB),Successful objects,Objects with exceptions,Error objects,Skipped objects,Filtered out objects,Objects with ignored errors,Comment
support-sj@expretio.com,Distribution list,support-sj@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:36:49 (UTC+00:00),2026-05-19 14:37:27 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,11,0,0,0,
support-scotrail-ext@expretio.com,Distribution list,support-scotrail-ext@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 07:00:49 (UTC+00:00),2026-05-19 07:01:17 (UTC+00:00),Finished,,0,8,0,0,0,0,0,
support-scotrail@expretio.com,Distribution list,support-scotrail@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:36:47 (UTC+00:00),2026-05-19 14:37:23 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,11,0,0,0,
anissa.achaoui@expretio.com,User mailbox,anissa.achaoui@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:36:47 (UTC+00:00),2026-05-19 14:38:00 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",5.38,38063,0,5,76436,0,0,
andres.cardenas@expretio.com,User mailbox,andres.cardenas@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:36:48 (UTC+00:00),2026-05-19 14:38:07 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0.99,4682,0,5,1,0,0,
xohr@expretio.com,Distribution list,xohr@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:37:18 (UTC+00:00),2026-05-19 14:37:45 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,2,0,0,0,
xogui@expretio.com,Distribution list,xogui@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:37:21 (UTC+00:00),2026-05-19 14:37:45 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,2,0,0,0,
yan.laporte@expretio.com,User mailbox,yan.laporte@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:37:21 (UTC+00:00),2026-05-19 14:38:48 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",27.77,115266,0,2,78760,0,0,
wassim.khene@expretio.com,User mailbox,wassim.khene@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-24 11:21:09 (UTC+00:00),2026-05-24 11:30:18 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",51,205890,0,126,102920,0,0,
vitaliy.begmenko@expretio.com,User mailbox,vitaliy.begmenko@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:37:21 (UTC+00:00),2026-05-19 14:38:41 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",4.8,19503,0,5,1,0,0,
evelyn.lopezgomez@expretio.com,User mailbox,evelyn.lopezgomez@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:37:22 (UTC+00:00),2026-05-19 14:38:22 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0.37,2035,0,2,1,0,0,
eric.nordling@expretio.com,User mailbox,eric.nordling@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:37:21 (UTC+00:00),2026-05-19 14:38:29 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",3.11,14933,0,9,1,0,0,
emile.jacques@expretio.com,User mailbox,emile.jacques@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:37:22 (UTC+00:00),2026-05-19 14:43:21 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0.02,294,0,1,1,0,0,
dominique.ryffranck@expretio.com,User mailbox,dominique.ryffranck@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:37:19 (UTC+00:00),2026-05-19 14:39:58 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",15.24,41731,0,6,1,0,0,
dihia.salhi@expretio.com,User mailbox,dihia.salhi@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:37:22 (UTC+00:00),2026-05-19 14:38:26 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0.12,961,0,2,1,0,0,
christian.bourque@expretio.com,User mailbox,christian.bourque@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:37:22 (UTC+00:00),2026-05-19 14:42:50 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",49.65,296372,0,25,162807,0,0,
celine.diep@expretio.com,User mailbox,celine.diep@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:37:22 (UTC+00:00),2026-05-19 14:38:52 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",2.58,19032,0,2,1,0,0,
antoine.lange@expretio.com,User mailbox,antoine.lange@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:37:22 (UTC+00:00),2026-05-19 14:40:20 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",13.66,91883,0,45,302513,0,0,
salle.clark@expretio.com,Resource mailbox,salle.clark@mbuexpretio.onmicrosoft.com,Resource mailbox,2026-05-19 14:44:41 (UTC+00:00),2026-05-19 15:03:21 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0.01,746,0,3,30,0,0,
valerian.fermi@expretio.com,User mailbox,valerian.fermi@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:37:22 (UTC+00:00),2026-05-19 14:39:00 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",5.81,58787,0,2,158303,0,0,
RHExpretio@expretio.com,Resource mailbox,RH@mbuexpretio.onmicrosoft.com,Resource mailbox,2026-05-19 14:42:54 (UTC+00:00),2026-05-19 15:00:21 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.", < 0.01,102,0,2,1,0,0,
plateau.projet@expretio.com,Resource mailbox,plateau.projet@mbuexpretio.onmicrosoft.com,Resource mailbox,2026-05-19 14:43:04 (UTC+00:00),2026-05-19 15:29:12 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0.03,2062,0,2,1431,0,0,
xoext@expretio.com,Distribution list,xoext@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:37:29 (UTC+00:00),2026-05-19 14:37:55 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,3,0,0,0,
xoekran@expretio.com,Distribution list,xoekran@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 07:01:31 (UTC+00:00),2026-05-19 07:01:58 (UTC+00:00),Finished,,0,8,0,0,0,0,0,
support-hex-ext@expretio.com,Distribution list,support-hex-ext@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 07:01:42 (UTC+00:00),2026-05-19 07:02:14 (UTC+00:00),Finished,,0,8,0,0,0,0,0,
support-hex@expretio.com,Distribution list,support-hex@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:37:30 (UTC+00:00),2026-05-19 14:38:08 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,13,0,0,0,
xo-ci-appia-tasks@expretio.com,Distribution list,xo-ci-appia-tasks@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:37:50 (UTC+00:00),2026-05-19 14:38:16 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,5,0,0,0,
xobatch-summary@expretio.com,Distribution list,xobatch-summary@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:37:51 (UTC+00:00),2026-05-19 14:38:16 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,1,0,0,0,
xobatch-elipsos@expretio.com,Distribution list,xobatch-elipsos@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:37:51 (UTC+00:00),2026-05-19 14:38:11 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,1,0,0,0,
xobatch-dev@expretio.com,Distribution list,xobatch-dev@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:37:52 (UTC+00:00),2026-05-19 14:38:18 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,5,0,0,0,
xobatch@expretio.com,Distribution list,xobatch@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:37:55 (UTC+00:00),2026-05-19 14:38:26 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,6,0,0,0,
xobackup@expretio.com,Distribution list,xobackup@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:37:55 (UTC+00:00),2026-05-19 14:38:23 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,4,0,0,0,
simon.lariviere@expretio.com,User mailbox,simon.lariviere@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:37:58 (UTC+00:00),2026-05-19 14:40:16 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",4.46,40831,0,2,21418,0,0,
rudy.vaschalde@expretio.com,User mailbox,rudy.vaschalde@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:37:58 (UTC+00:00),2026-05-19 14:39:06 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0.29,2516,0,2,1,0,0,
pino.silvaggio@expretio.com,User mailbox,pino.silvaggio@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:37:59 (UTC+00:00),2026-05-19 14:40:07 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",43.89,159135,0,1,85122,0,0,
philippe.lamy@expretio.com,User mailbox,philippe.lamy@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-20 18:09:33 (UTC+00:00),2026-05-20 18:11:42 (UTC+00:00),Finished,,50.28,175822,0,0,0,0,0,
peter.cramon@expretio.com,User mailbox,peter.cramon@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:37:58 (UTC+00:00),2026-05-19 14:39:06 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",4.23,16602,0,4,1,0,0,
paula.feinberg@expretio.com,User mailbox,paula.feinberg@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:38:00 (UTC+00:00),2026-05-19 14:39:56 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",14.56,51801,0,10,13670,0,0,
paolo.riccardi@expretio.com,User mailbox,paolo.riccardi@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:37:59 (UTC+00:00),2026-05-19 14:39:31 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",6.06,35224,0,14,34742,0,0,
olivier.drolet@expretio.com,User mailbox,olivier.drolet@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:38:01 (UTC+00:00),2026-05-19 14:39:19 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",24.4,63317,0,2,73979,0,0,
nikolai.olekhnovitch@expretio.com,User mailbox,nikolai.olekhnovitch@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:38:04 (UTC+00:00),2026-05-19 14:38:53 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0.73,5021,0,2,1,0,0,
maxime.tanesie@expretio.com,User mailbox,maxime.tanesie@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:38:10 (UTC+00:00),2026-05-19 14:39:17 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0.99,8436,0,3,123313,0,0,
maude.ducharme@expretio.com,User mailbox,maude.ducharme@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:38:10 (UTC+00:00),2026-05-19 14:39:23 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0.11,1005,0,2,1,0,0,
matthieu.gerard@expretio.com,User mailbox,matthieu.gerard@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-24 11:21:10 (UTC+00:00),2026-05-24 11:30:35 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",49.4,341668,0,456,245883,0,0,
marial.suppa@expretio.com,User mailbox,marial.suppa@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:38:11 (UTC+00:00),2026-05-19 14:39:40 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",6.38,31439,0,31,1,0,0,
marc-andre.charest@expretio.com,User mailbox,marc-andre.charest@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:38:18 (UTC+00:00),2026-05-19 14:40:41 (UTC+00:00),Finished,,50.15,140544,0,0,0,0,0,
kevin.bonnard@expretio.com,User mailbox,kevin.bonnard@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:38:22 (UTC+00:00),2026-05-19 14:39:52 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",8.35,63630,0,2,138849,0,0,
karim.perezmartinez@expretio.com,User mailbox,karim.perezmartinez@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:38:22 (UTC+00:00),2026-05-19 14:39:16 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",3.12,16162,0,3,14464,0,0,
julien.kasmi@expretio.com,User mailbox,julien.kasmi@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:38:22 (UTC+00:00),2026-05-19 14:39:31 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0.4,3260,0,3,1,0,0,
hugo.perronnet@expretio.com,User mailbox,hugo.perronnet@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:38:25 (UTC+00:00),2026-05-19 14:39:38 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",1.22,14325,0,2,54947,0,0,
guillaume.thibodeau@expretio.com,User mailbox,guillaume.thibodeau@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:38:25 (UTC+00:00),2026-05-19 14:51:03 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",14.36,52720,0,123,1,0,0,
gabriel.landry@expretio.com,User mailbox,gabriel.landry@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:38:24 (UTC+00:00),2026-05-19 14:39:09 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0.03,376,0,1,1,0,0,
frederick.tremblay-fassler@expretio.com,User mailbox,frederick.tremblay-fassler@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-24 11:21:09 (UTC+00:00),2026-05-24 11:24:27 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",50.04,126755,0,288,1,0,0,
franck.arisdakessian@expretio.com,User mailbox,franck.arisdakessian@mbuexpretio.onmicrosoft.com,User mailbox,2026-05-19 14:38:29 (UTC+00:00),2026-05-19 14:40:33 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",15.02,112342,0,2,116575,0,0,
MobilityADO-Project@expretio.com,Distribution list,MobilityADO-Project@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:38:28 (UTC+00:00),2026-05-19 14:38:51 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,1,0,0,0,
marketing@expretio.com,Distribution list,marketing@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:38:32 (UTC+00:00),2026-05-19 14:38:59 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,1,0,0,0,
expretio.itworkdaynotifications@expretio.com,Distribution list,expretio.itworkdaynotifications@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:38:38 (UTC+00:00),2026-05-19 14:39:10 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,3,0,0,0,
invoices@expretio.com,Distribution list,invoices@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:38:49 (UTC+00:00),2026-05-19 14:39:10 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,1,0,0,0,
info@expretio.com,Distribution list,info@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:38:54 (UTC+00:00),2026-05-19 14:39:25 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,6,0,0,0,
fax@expretio.com,Distribution list,fax@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 07:01:52 (UTC+00:00),2026-05-19 07:02:16 (UTC+00:00),Finished,,0,8,0,0,0,0,0,
respdoc360@expretio.com,Distribution list,respdoc360@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:38:54 (UTC+00:00),2026-05-19 14:39:22 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,4,0,0,0,
deployment-thalys@expretio.com,Distribution list,deployment-thalys@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:38:56 (UTC+00:00),2026-05-19 14:39:21 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,3,0,0,0,
xocrm@expretio.com,Distribution list,xocrm@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:38:56 (UTC+00:00),2026-05-19 14:39:43 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,20,0,0,0,
commercial@expretio.com,Distribution list,commercial@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 07:02:14 (UTC+00:00),2026-05-19 07:02:42 (UTC+00:00),Finished,,0,8,0,0,0,0,0,
client-services@expretio.com,Distribution list,client-services@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:38:56 (UTC+00:00),2026-05-19 14:39:20 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,4,0,0,0,
careers@expretio.com,Distribution list,careers@mbuexpretio.onmicrosoft.com,Distribution list,2026-05-19 14:38:54 (UTC+00:00),2026-05-19 14:39:18 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,2,0,0,0,
mbexpretiolan@expretio.com,Mail-enabled security group,mbexpretiolan@mbuexpretio.onmicrosoft.com,Mail-enabled security group,2026-05-22 11:28:01 (UTC+00:00),2026-05-22 11:28:39 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0,8,0,3,0,0,0,
